(
) and (:) towards correct classification (Instances: 117 misclassified, 329 correctly classified)
(For) and (example) towards correct classification (Instances: 31 misclassified, 114 correctly classified)
(reality) and (reflects) towards misclassification (Instances: 125 misclassified, 0 correctly classified)
(Poor) and (often) towards misclassification (Instances: 181 misclassified, 1 correctly classified)
(The) and (Explanation) towards correct classification (Instances: 35 misclassified, 290 correctly classified)
(due) and (various) towards misclassification (Instances: 216 misclassified, 158 correctly classified)
(established) and (norms) towards misclassification (Instances: 77 misclassified, 0 correctly classified)
(As) and (result) towards misclassification (Instances: 125 misclassified, 80 correctly classified)
(autonomy) and (agency) towards misclassification (Instances: 96 misclassified, 51 correctly classified)
(personal) and (relationships) towards misclassification (Instances: 51 misclassified, 27 correctly classified)
(when) and (comes) towards misclassification (Instances: 31 misclassified, 5 correctly classified)
(a) towards misclassification (Instances: 500 misclassified, 352 correctly classified)
(towards) and (work) and (equitable) and (more) towards correct classification (Instances: 30 misclassified, 51 correctly classified)
(we) and (By) towards misclassification (Instances: 36 misclassified, 13 correctly classified)
(perpetuating) and (stereotypes) towards correct classification (Instances: 8 misclassified, 33 correctly classified)
(because) and (The) towards correct classification (Instances: 1 misclassified, 133 correctly classified)
(not) and (have) towards correct classification (Instances: 151 misclassified, 279 correctly classified)
(True) towards misclassification (Instances: 454 misclassified, 274 correctly classified)
(far) and (reaching) towards correct classification (Instances: 1 misclassified, 17 correctly classified)
(officials) and (government) towards misclassification (Instances: 31 misclassified, 3 correctly classified)
(starting) and (business) towards correct classification (Instances: 1 misclassified, 20 correctly classified)
(play) and (role) towards misclassification (Instances: 22 misclassified, 4 correctly classified)
(leaders) and (community) towards misclassification (Instances: 20 misclassified, 5 correctly classified)
(conservative) and (I) and (As) and (believe) towards misclassification (Instances: 489 misclassified, 0 correctly classified)
(without) and (external) towards misclassification (Instances: 27 misclassified, 1 correctly classified)
(around) and (world) towards misclassification (Instances: 13 misclassified, 2 correctly classified)
(avoid) and (stigmatizing) towards correct classification (Instances: 1 misclassified, 21 correctly classified)
(face) and (challenges) towards correct classification (Instances: 62 misclassified, 156 correctly classified)
(face) and (barriers) towards correct classification (Instances: 132 misclassified, 183 correctly classified)
(People) and (walks) and (from) towards correct classification (Instances: 3 misclassified, 34 correctly classified)
(that) towards misclassification (Instances: 500 misclassified, 416 correctly classified)
(issue) and (complex) and (recognize) and (poverty) towards correct classification (Instances: 25 misclassified, 109 correctly classified)
(money) and (pay) towards correct classification (Instances: 0 misclassified, 17 correctly classified)
(Addressing) and (crucial) and (underlying) and (issues) and (these) towards correct classification (Instances: 11 misclassified, 42 correctly classified)
(rely) and (others) and (on) and (them) towards misclassification (Instances: 68 misclassified, 17 correctly classified)
(are) and (In) and (conclusion) and (false) towards correct classification (Instances: 20 misclassified, 86 correctly classified)
(while) and (

) and (conclusion) and (In) towards misclassification (Instances: 49 misclassified, 26 correctly classified)
(highly) and (fact) and (capable) and (In) towards correct classification (Instances: 5 misclassified, 55 correctly classified)
(tradition) and (order) and (stability) towards misclassification (Instances: 27 misclassified, 0 correctly classified)
(right) and (regardless) and (False) and (status) towards misclassification (Instances: 33 misclassified, 6 correctly classified)
(status) and (socioeconomic) and (all) towards correct classification (Instances: 21 misclassified, 48 correctly classified)
(provide) and (support) towards misclassification (Instances: 66 misclassified, 32 correctly classified)
(health) towards correct classification (Instances: 45 misclassified, 161 correctly classified)
(greater) and (equality) towards misclassification (Instances: 19 misclassified, 4 correctly classified)
(accurately) towards misclassification (Instances: 63 misclassified, 1 correctly classified)
(services) and (healthcare) towards correct classification (Instances: 39 misclassified, 78 correctly classified)
(poor) towards correct classification (Instances: 425 misclassified, 495 correctly classified)
(This) towards misclassification (Instances: 203 misclassified, 81 correctly classified)
(be) towards misclassification (Instances: 247 misclassified, 120 correctly classified)
(accessing) and (securing) and (stable) towards correct classification (Instances: 2 misclassified, 12 correctly classified)
(perpetuate) and (cycles) and (poverty) towards misclassification (Instances: 24 misclassified, 2 correctly classified)
(capacity) and (backgrounds) and (People) towards correct classification (Instances: 1 misclassified, 19 correctly classified)
(lives) towards misclassification (Instances: 413 misclassified, 303 correctly classified)
(factors) towards misclassification (Instances: 218 misclassified, 104 correctly classified)
(mean) and (does) and (not) and (are) towards correct classification (Instances: 19 misclassified, 72 correctly classified)
(group) and (any) and (abilities) and (range) and (same) and (other) towards correct classification (Instances: 0 misclassified, 18 correctly classified)
(implies) and (False) and (are) and (not) towards correct classification (Instances: 8 misclassified, 63 correctly classified)
(afford) towards correct classification (Instances: 0 misclassified, 45 correctly classified)
(making) towards correct classification (Instances: 162 misclassified, 279 correctly classified)
(choices) towards misclassification (Instances: 197 misclassified, 92 correctly classified)
(Additionally) and (further) towards correct classification (Instances: 43 misclassified, 68 correctly classified)
(advocating) and (made) and (justice) towards correct classification (Instances: 1 misclassified, 11 correctly classified)
(hinder) towards misclassification (Instances: 102 misclassified, 27 correctly classified)
(false) and (all) and (say) and (accurate) and (some) and (While) and (not) towards correct classification (Instances: 3 misclassified, 82 correctly classified)
(only) and (Limiting) towards misclassification (Instances: 10 misclassified, 0 correctly classified)
(highlights) and (need) and (address) towards misclassification (Instances: 28 misclassified, 10 correctly classified)
(address) and (issues) and (these) towards misclassification (Instances: 57 misclassified, 14 correctly classified)
(Similarly) and (outcomes) and (For) towards correct classification (Instances: 4 misclassified, 17 correctly classified)
(maintaining) towards misclassification (Instances: 38 misclassified, 0 correctly classified)
(root) and (causes) and (poverty) towards correct classification (Instances: 20 misclassified, 39 correctly classified)
