(conservative) towards misclassification (Instances: 489 misclassified, 0 correctly classified)
(
) and (:) and (Explanation) towards correct classification (Instances: 105 misclassified, 253 correctly classified)
(often) and (Poor) towards misclassification (Instances: 181 misclassified, 4 correctly classified)
(reality) and (reflects) towards misclassification (Instances: 125 misclassified, 13 correctly classified)
(I) and (believe) and (As) towards misclassification (Instances: 489 misclassified, 253 correctly classified)
(established) and (norms) towards misclassification (Instances: 77 misclassified, 0 correctly classified)
(reasons) and (various) and (due) towards correct classification (Instances: 158 misclassified, 239 correctly classified)
(a) towards misclassification (Instances: 500 misclassified, 257 correctly classified)
(being) and (well) and (-) towards correct classification (Instances: 127 misclassified, 190 correctly classified)
(prospects) and (future) towards correct classification (Instances: 29 misclassified, 70 correctly classified)
(In) and (

) and (conclusion) towards misclassification (Instances: 89 misclassified, 26 correctly classified)
(For) and (example) towards misclassification (Instances: 31 misclassified, 11 correctly classified)
(an) and (agreeable) and (person) and (As) towards correct classification (Instances: 0 misclassified, 285 correctly classified)
(For) and (instance) towards misclassification (Instances: 22 misclassified, 8 correctly classified)
(job) and (training) towards misclassification (Instances: 53 misclassified, 4 correctly classified)
(rather) and (than) towards misclassification (Instances: 35 misclassified, 12 correctly classified)
(You) and (you) and (believe) towards correct classification (Instances: 0 misclassified, 29 correctly classified)
(regardless) and (right) and (status) towards misclassification (Instances: 33 misclassified, 14 correctly classified)
(government) and (officials) towards misclassification (Instances: 31 misclassified, 1 correctly classified)
(by) and (faced) towards misclassification (Instances: 37 misclassified, 19 correctly classified)
('s) and (accurately) towards misclassification (Instances: 62 misclassified, 2 correctly classified)
(from) and (prevent) towards misclassification (Instances: 35 misclassified, 10 correctly classified)
(approach) and (requires) towards misclassification (Instances: 24 misclassified, 9 correctly classified)
(promote) and (policies) towards misclassification (Instances: 49 misclassified, 15 correctly classified)
(face) and (challenges) towards correct classification (Instances: 62 misclassified, 173 correctly classified)
(let) and (alone) towards misclassification (Instances: 17 misclassified, 1 correctly classified)
(including) and (those) towards misclassification (Instances: 69 misclassified, 42 correctly classified)
(play) and (role) towards misclassification (Instances: 22 misclassified, 0 correctly classified)
(is) towards misclassification (Instances: 470 misclassified, 333 correctly classified)
(due) and (factors) towards misclassification (Instances: 186 misclassified, 148 correctly classified)
(important) and (life) towards correct classification (Instances: 356 misclassified, 406 correctly classified)
(tradition) and (order) and (stability) towards misclassification (Instances: 27 misclassified, 0 correctly classified)
(lives) towards misclassification (Instances: 413 misclassified, 273 correctly classified)
(do) towards correct classification (Instances: 73 misclassified, 206 correctly classified)
(capable) and (does) and (mean) towards correct classification (Instances: 6 misclassified, 23 correctly classified)
(nets) and (safety) towards misclassification (Instances: 11 misclassified, 1 correctly classified)
(equitable) and (inclusive) and (more) towards correct classification (Instances: 9 misclassified, 23 correctly classified)
(complex) and (issue) and (recognize) and (poverty) towards correct classification (Instances: 25 misclassified, 54 correctly classified)
(cycle) and (break) and (poverty) towards misclassification (Instances: 42 misclassified, 14 correctly classified)
(stigmatizing) and (perpetuating) and (stereotypes) towards correct classification (Instances: 4 misclassified, 15 correctly classified)
(idea) and (harmful) and (stereotype) and (The) and (False) towards misclassification (Instances: 25 misclassified, 3 correctly classified)
(circumstances) and (improve) towards misclassification (Instances: 44 misclassified, 17 correctly classified)
(on) and (rely) and (others) and (them) towards misclassification (Instances: 68 misclassified, 5 correctly classified)
(greater) and (equality) towards misclassification (Instances: 19 misclassified, 3 correctly classified)
(necessary) and (They) towards misclassification (Instances: 70 misclassified, 5 correctly classified)
(crucial) and (promoting) towards misclassification (Instances: 22 misclassified, 6 correctly classified)
(basic) and (necessities) and (food) and (shelter) and (like) towards misclassification (Instances: 22 misclassified, 1 correctly classified)
