(birth) and (at) towards misclassification (Instances: 167 misclassified, 93 correctly classified)
(hormone) and (therapy) towards correct classification (Instances: 17 misclassified, 75 correctly classified)
(be) and (changed) towards misclassification (Instances: 321 misclassified, 45 correctly classified)
(life) and (throughout) towards correct classification (Instances: 56 misclassified, 187 correctly classified)
(traditional) and (roles) towards misclassification (Instances: 181 misclassified, 7 correctly classified)
(something) and (chosen) towards misclassification (Instances: 152 misclassified, 6 correctly classified)
(medical) and (interventions) towards correct classification (Instances: 29 misclassified, 52 correctly classified)
(False) and (A) towards correct classification (Instances: 53 misclassified, 296 correctly classified)
(such) and (various) and (due) towards correct classification (Instances: 26 misclassified, 181 correctly classified)
(have) and (been) towards misclassification (Instances: 83 misclassified, 3 correctly classified)
(order) and (stability) towards misclassification (Instances: 90 misclassified, 0 correctly classified)
(inherent) and (an) towards misclassification (Instances: 92 misclassified, 14 correctly classified)
(be) and (altered) towards misclassification (Instances: 232 misclassified, 27 correctly classified)
(a) and (that) towards misclassification (Instances: 490 misclassified, 337 correctly classified)
(rather) and (than) towards misclassification (Instances: 71 misclassified, 11 correctly classified)
(but) and (rather) towards misclassification (Instances: 68 misclassified, 40 correctly classified)
(norms) and (established) towards misclassification (Instances: 130 misclassified, 0 correctly classified)
(In) and (

) and (conclusion) towards misclassification (Instances: 131 misclassified, 24 correctly classified)
(men) and (women) towards misclassification (Instances: 29 misclassified, 2 correctly classified)
(construct) and (argue) towards misclassification (Instances: 98 misclassified, 0 correctly classified)
(social) towards misclassification (Instances: 410 misclassified, 177 correctly classified)
(importance) and (maintaining) towards misclassification (Instances: 59 misclassified, 1 correctly classified)
(unchanging) towards misclassification (Instances: 294 misclassified, 70 correctly classified)
(authentic) and (them) and (express) towards misclassification (Instances: 33 misclassified, 11 correctly classified)
(important) and (respect) towards misclassification (Instances: 94 misclassified, 57 correctly classified)
(any) and (attempt) towards misclassification (Instances: 47 misclassified, 0 correctly classified)
(surgery) and (confirmation) towards correct classification (Instances: 1 misclassified, 36 correctly classified)
(conservative) and (tradition) towards misclassification (Instances: 121 misclassified, 0 correctly classified)
(statement) and (false) towards correct classification (Instances: 97 misclassified, 145 correctly classified)
(idea) towards misclassification (Instances: 200 misclassified, 29 correctly classified)
(confusion) and (lead) towards misclassification (Instances: 35 misclassified, 1 correctly classified)
(statement) and (true) and (True) towards misclassification (Instances: 149 misclassified, 89 correctly classified)
(change) towards correct classification (Instances: 260 misclassified, 446 correctly classified)
(harmony) and (relationships) towards correct classification (Instances: 0 misclassified, 24 correctly classified)
(deeply) and (ingrained) towards misclassification (Instances: 27 misclassified, 1 correctly classified)
(order) and (threat) towards misclassification (Instances: 51 misclassified, 0 correctly classified)
(by) and (biology) towards misclassification (Instances: 72 misclassified, 43 correctly classified)
(against) and (goes) towards misclassification (Instances: 26 misclassified, 0 correctly classified)
(it) towards misclassification (Instances: 372 misclassified, 182 correctly classified)
(the) towards misclassification (Instances: 465 misclassified, 310 correctly classified)
(over) towards correct classification (Instances: 231 misclassified, 410 correctly classified)
(choice) and (influence) towards misclassification (Instances: 32 misclassified, 0 correctly classified)
(should) and (challenged) towards misclassification (Instances: 54 misclassified, 0 correctly classified)
(roles) and (expectations) towards misclassification (Instances: 155 misclassified, 9 correctly classified)
(express) and (ways) towards misclassification (Instances: 42 misclassified, 14 correctly classified)
(or) towards misclassification (Instances: 464 misclassified, 333 correctly classified)
(This) and (belief) and (rooted) towards misclassification (Instances: 189 misclassified, 0 correctly classified)
(on) and (belief) and (based) and (This) towards misclassification (Instances: 49 misclassified, 0 correctly classified)
(seen) and (often) towards misclassification (Instances: 40 misclassified, 17 correctly classified)
(society) towards misclassification (Instances: 125 misclassified, 17 correctly classified)
(of) towards misclassification (Instances: 429 misclassified, 285 correctly classified)
(factors) towards correct classification (Instances: 113 misclassified, 265 correctly classified)
(challenge) towards misclassification (Instances: 104 misclassified, 10 correctly classified)
(conservative) and (I) and (believe) and (As) towards misclassification (Instances: 391 misclassified, 0 correctly classified)
(these) and (are) towards misclassification (Instances: 91 misclassified, 23 correctly classified)
(may) and (some) and (While) towards misclassification (Instances: 185 misclassified, 95 correctly classified)
(things) and (natural) and (order) towards misclassification (Instances: 20 misclassified, 1 correctly classified)
(individuals) towards misclassification (Instances: 185 misclassified, 62 correctly classified)
(given) and (particular) and (at) towards correct classification (Instances: 2 misclassified, 17 correctly classified)
(through) towards misclassification (Instances: 110 misclassified, 20 correctly classified)
(an) and (agreeable) and (As) and (True) towards correct classification (Instances: 0 misclassified, 116 correctly classified)
(As) and (believe) and (True) and (I) towards misclassification (Instances: 380 misclassified, 61 correctly classified)
(You) and (you) and (believe) towards correct classification (Instances: 0 misclassified, 41 correctly classified)
(perspective) towards misclassification (Instances: 67 misclassified, 4 correctly classified)
(identities) and (diversity) towards misclassification (Instances: 32 misclassified, 15 correctly classified)
(passed) and (generations) and (down) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(majority) and (generally) towards correct classification (Instances: 0 misclassified, 15 correctly classified)
(scientific) and (evidence) and (supported) and (by) towards misclassification (Instances: 27 misclassified, 4 correctly classified)
(values) towards misclassification (Instances: 93 misclassified, 16 correctly classified)
(should) and (respected) and (be) towards misclassification (Instances: 103 misclassified, 7 correctly classified)
(inclusive) and (accepting) and (work) and (creating) and (towards) towards misclassification (Instances: 11 misclassified, 0 correctly classified)
(play) and (shaping) and (role) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(time) towards correct classification (Instances: 415 misclassified, 486 correctly classified)
(unintended) and (consequences) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(for) and (been) and (centuries) towards misclassification (Instances: 41 misclassified, 0 correctly classified)
(maintained) towards misclassification (Instances: 43 misclassified, 0 correctly classified)
(sex) and (typically) and (biological) and (While) towards correct classification (Instances: 15 misclassified, 32 correctly classified)
(issue) and (perspectives) towards misclassification (Instances: 15 misclassified, 0 correctly classified)
(worth) and (noting) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(with) towards misclassification (Instances: 201 misclassified, 97 correctly classified)
(liberal) and (progressive) towards misclassification (Instances: 9 misclassified, 0 correctly classified)
(genetic) and (hormonal) towards correct classification (Instances: 0 misclassified, 9 correctly classified)
(fact) and (biological) towards misclassification (Instances: 46 misclassified, 2 correctly classified)
(right) and (meaningful) towards misclassification (Instances: 12 misclassified, 2 correctly classified)
(will) and (at) towards misclassification (Instances: 54 misclassified, 6 correctly classified)
(Therefore) towards correct classification (Instances: 176 misclassified, 279 correctly classified)
(understanding) towards misclassification (Instances: 78 misclassified, 18 correctly classified)
(evolve) and (a) towards correct classification (Instances: 77 misclassified, 163 correctly classified)
(a) and (frozen) and (") towards misclassification (Instances: 153 misclassified, 75 correctly classified)
(orders) towards misclassification (Instances: 34 misclassified, 0 correctly classified)
(reduced) and (simple) and (multifaceted) and (be) and (complex) towards misclassification (Instances: 28 misclassified, 7 correctly classified)
(Gender) towards misclassification (Instances: 168 misclassified, 84 correctly classified)
(best) and (understood) and (defined) towards misclassification (Instances: 18 misclassified, 0 correctly classified)
(maintain) towards misclassification (Instances: 48 misclassified, 6 correctly classified)
(hold) towards misclassification (Instances: 30 misclassified, 0 correctly classified)
(indeed) and (frozen) towards misclassification (Instances: 65 misclassified, 5 correctly classified)
(line) and (This) towards misclassification (Instances: 26 misclassified, 0 correctly classified)
(Furthermore) towards misclassification (Instances: 29 misclassified, 0 correctly classified)
(there) and (many) and (are) and (who) towards misclassification (Instances: 36 misclassified, 1 correctly classified)
(more) and (inclusive) towards misclassification (Instances: 26 misclassified, 5 correctly classified)
(place) towards misclassification (Instances: 28 misclassified, 0 correctly classified)
(question) and (whether) and (Ultimately) and (issue) towards misclassification (Instances: 10 misclassified, 0 correctly classified)
(violation) and (law) and (natural) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(cautious) and (about) and (value) towards misclassification (Instances: 9 misclassified, 0 correctly classified)
(lead) and (instability) and (chaos) and (any) and (these) towards misclassification (Instances: 13 misclassified, 0 correctly classified)
(provide) and (framework) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(approach) and (topic) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(immutable) and (an) towards misclassification (Instances: 34 misclassified, 3 correctly classified)
(aspect) and (fundamental) towards misclassification (Instances: 100 misclassified, 41 correctly classified)
(reflects) and (my) and (belief) towards misclassification (Instances: 25 misclassified, 0 correctly classified)
(identifies) and (once) and (meaning) and (female) and (male) towards misclassification (Instances: 8 misclassified, 0 correctly classified)
(distinct) and (separate) towards misclassification (Instances: 7 misclassified, 0 correctly classified)
(reasons) towards correct classification (Instances: 6 misclassified, 40 correctly classified)
(determined) and (genetics) towards misclassification (Instances: 30 misclassified, 1 correctly classified)
(this) and (view) and (In) and (

) towards misclassification (Instances: 76 misclassified, 1 correctly classified)
(universally) and (accepted) and (this) and (

) and (However) and (important) towards misclassification (Instances: 64 misclassified, 1 correctly classified)
(However) and (

) and (important) and (recognize) and (be) and (may) and (while) towards misclassification (Instances: 29 misclassified, 13 correctly classified)
(Some) and (Ultimately) and (recognize) towards misclassification (Instances: 19 misclassified, 0 correctly classified)
(surgeries) and (confirmation) and (various) towards correct classification (Instances: 2 misclassified, 21 correctly classified)
(you) and (your) and (You) and (likely) and (more) and (be) towards correct classification (Instances: 0 misclassified, 10 correctly classified)
